일자,계(명),국내발생(명),해외유입(명),사망,0-9세,10-19세,20-29세,30-39세,40-49세,50-59세,60-69세,70-79세,80세이상
2021-07-18,"1,453 ","1,402 ",51 ,2 ,88 ,146 ,351 ,238 ,247 ,256 ,92 ,29 ,6 
2021-07-19,"1,251 ","1,207 ",44 ,1 ,121 ,132 ,288 ,198 ,203 ,204 ,75 ,21 ,9 
2021-07-20,"1,278 ","1,242 ",36 ,1 ,96 ,130 ,271 ,208 ,243 ,217 ,84 ,21 ,8 
2021-07-21,"1,781 ","1,725 ",56 ,1 ,123 ,212 ,403 ,292 ,321 ,287 ,103 ,30 ,10 
2021-07-22,"1,841 ","1,532 ",309 ,3 ,119 ,177 ,503 ,303 ,330 ,286 ,87 ,27 ,9 
2021-07-23,"1,629 ","1,573 ",56 ,3 ,111 ,164 ,376 ,286 ,271 ,259 ,118 ,32 ,12 
2021-07-24,"1,627 ","1,572 ",55 ,2 ,104 ,160 ,397 ,244 ,273 ,282 ,110 ,42 ,15 
2021-07-25,"1,487 ","1,422 ",65 ,5 ,79 ,210 ,327 ,255 ,244 ,211 ,113 ,35 ,13 
2021-07-26,"1,318 ","1,264 ",54 ,4 ,84 ,150 ,279 ,228 ,217 ,224 ,103 ,27 ,6 
2021-07-27,"1,362 ","1,273 ",89 ,2 ,106 ,151 ,325 ,204 ,239 ,216 ,96 ,18 ,7 
2021-07-28,"1,895 ","1,822 ",73 ,4 ,127 ,215 ,394 ,306 ,325 ,333 ,135 ,41 ,19 
2021-07-29,"1,673 ","1,631 ",42 ,2 ,124 ,186 ,399 ,240 ,295 ,264 ,115 ,36 ,14 
2021-07-30,"1,710 ","1,662 ",48 ,4 ,101 ,182 ,352 ,271 ,309 ,306 ,120 ,49 ,20 
2021-07-31,"1,538 ","1,465 ",73 ,6 ,96 ,178 ,349 ,241 ,264 ,239 ,132 ,28 ,11 
2021-08-01,"1,442 ","1,386 ",56 ,3 ,95 ,174 ,312 ,213 ,238 ,245 ,115 ,36 ,14 
2021-08-02,"1,218 ","1,150 ",68 ,1 ,85 ,156 ,255 ,180 ,219 ,195 ,78 ,32 ,18 
2021-08-03,"1,200 ","1,150 ",50 ,5 ,98 ,137 ,235 ,185 ,198 ,205 ,101 ,31 ,10 
2021-08-04,"1,725 ","1,664 ",61 ,2 ,97 ,189 ,400 ,282 ,280 ,300 ,127 ,39 ,11 
2021-08-05,"1,775 ","1,716 ",59 ,3 ,96 ,204 ,421 ,262 ,290 ,293 ,147 ,46 ,16 
2021-08-06,"1,704 ","1,640 ",64 ,4 ,128 ,194 ,362 ,276 ,255 ,285 ,149 ,51 ,4 
2021-08-07,"1,823 ","1,762 ",61 ,3 ,123 ,170 ,395 ,271 ,277 ,315 ,166 ,55 ,51 
2021-08-08,"1,727 ","1,668 ",59 ,5 ,117 ,170 ,382 ,304 ,249 ,281 ,158 ,48 ,18 
2021-08-09,"1,489 ","1,453 ",36 ,4 ,102 ,163 ,345 ,238 ,215 ,241 ,128 ,36 ,21 
2021-08-10,"1,537 ","1,474 ",63 ,9 ,102 ,196 ,332 ,239 ,258 ,234 ,124 ,31 ,21 
2021-08-11,"2,221 ","2,144 ",77 ,1 ,126 ,212 ,560 ,383 ,342 ,356 ,166 ,54 ,22 
2021-08-12,"1,987 ","1,947 ",40 ,3 ,122 ,225 ,492 ,331 ,279 ,319 ,144 ,52 ,23 
2021-08-13,"1,989 ","1,913 ",76 ,6 ,121 ,212 ,468 ,320 ,299 ,305 ,178 ,48 ,38 
2021-08-14,"1,928 ","1,858 ",70 ,4 ,102 ,207 ,468 ,339 ,276 ,319 ,149 ,46 ,22 
2021-08-15,"1,816 ","1,748 ",68 ,7 ,117 ,206 ,433 ,276 ,276 ,309 ,135 ,37 ,27 
2021-08-16,"1,554 ","1,491 ",63 ,11 ,102 ,182 ,364 ,259 ,221 ,230 ,120 ,44 ,32 
2021-08-17,"1,372 ","1,322 ",50 ,6 ,102 ,132 ,319 ,240 ,226 ,220 ,86 ,38 ,9 
2021-08-18,"1,803 ","1,766 ",37 ,5 ,117 ,200 ,429 ,283 ,296 ,269 ,160 ,27 ,22 
2021-08-19,"2,152 ","2,114 ",38 ,13 ,139 ,203 ,515 ,393 ,349 ,307 ,168 ,59 ,19 
2021-08-20,"2,049 ","1,999 ",50 ,6 ,155 ,184 ,454 ,359 ,336 ,321 ,151 ,61 ,28 
2021-08-21,"1,876 ","1,811 ",65 ,5 ,107 ,188 ,408 ,332 ,296 ,271 ,184 ,64 ,26 
2021-08-22,"1,626 ","1,588 ",38 ,13 ,102 ,153 ,375 ,298 ,264 ,244 ,132 ,42 ,16 
2021-08-23,"1,417 ","1,370 ",47 ,7 ,81 ,144 ,320 ,234 ,264 ,221 ,110 ,32 ,11 
2021-08-24,"1,507 ","1,469 ",38 ,6 ,116 ,145 ,347 ,271 ,261 ,202 ,114 ,40 ,11 
2021-08-25,"2,154 ","2,113 ",41 ,9 ,140 ,224 ,511 ,357 ,355 ,294 ,190 ,61 ,22 
2021-08-26,"1,881 ","1,828 ",53 ,20 ,119 ,177 ,439 ,339 ,300 ,278 ,150 ,66 ,13 
2021-08-27,"1,837 ","1,809 ",28 ,8 ,126 ,173 ,427 ,336 ,289 ,269 ,159 ,40 ,18 
2021-08-28,"1,791 ","1,736 ",55 ,11 ,114 ,194 ,434 ,309 ,259 ,263 ,146 ,47 ,25 
2021-08-29,"1,619 ","1,576 ",43 ,3 ,96 ,144 ,395 ,296 ,236 ,228 ,164 ,41 ,19 
2021-08-30,"1,485 ","1,424 ",61 ,5 ,102 ,121 ,327 ,303 ,228 ,212 ,130 ,33 ,29 
2021-08-31,"1,369 ","1,331 ",38 ,1 ,75 ,162 ,312 ,217 ,222 ,206 ,135 ,27 ,13 
2021-09-01,"2,024 ","1,991 ",33 ,7 ,128 ,192 ,444 ,366 ,335 ,297 ,194 ,56 ,12 
2021-09-02,"1,959 ","1,925 ",34 ,11 ,154 ,176 ,472 ,363 ,304 ,271 ,156 ,45 ,18 
2021-09-03,"1,708 ","1,674 ",34 ,4 ,94 ,153 ,379 ,321 ,312 ,238 ,151 ,41 ,19 
2021-09-04,"1,803 ","1,775 ",28 ,6 ,113 ,184 ,414 ,336 ,306 ,237 ,146 ,53 ,14 
2021-09-05,"1,490 ","1,461 ",29 ,6 ,114 ,154 ,322 ,264 ,264 ,179 ,132 ,45 ,16 
2021-09-06,"1,375 ","1,351 ",24 ,6 ,107 ,147 ,275 ,244 ,243 ,206 ,108 ,32 ,13 
2021-09-07,"1,597 ","1,563 ",34 ,3 ,111 ,173 ,348 ,275 ,299 ,226 ,123 ,31 ,11 
2021-09-08,"2,047 ","2,011 ",36 ,4 ,110 ,219 ,454 ,399 ,380 ,273 ,147 ,47 ,18 
2021-09-09,"2,048 ","2,018 ",30 ,9 ,138 ,233 ,439 ,355 ,367 ,276 ,181 ,45 ,14 
2021-09-10,"1,892 ","1,857 ",35 ,5 ,111 ,195 ,427 ,349 ,318 ,253 ,148 ,49 ,42 
2021-09-11,"1,864 ","1,815 ",49 ,10 ,145 ,191 ,416 ,353 ,307 ,227 ,140 ,68 ,17 
2021-09-12,"1,755 ","1,725 ",30 ,1 ,129 ,219 ,369 ,352 ,290 ,178 ,141 ,46 ,31 
2021-09-13,"1,433 ","1,409 ",24 ,1 ,106 ,135 ,295 ,271 ,257 ,177 ,134 ,36 ,22 
2021-09-14,"1,495 ","1,461 ",34 ,7 ,104 ,148 ,348 ,284 ,253 ,195 ,103 ,38 ,22 
2021-09-15,"2,077 ","2,054 ",23 ,12 ,121 ,209 ,435 ,460 ,374 ,235 ,147 ,60 ,36 
2021-09-16,"1,941 ","1,919 ",22 ,6 ,144 ,210 ,404 ,405 ,344 ,193 ,155 ,55 ,31 
2021-09-17,"2,007 ","1,972 ",35 ,3 ,144 ,214 ,446 ,370 ,345 ,227 ,185 ,60 ,16 
2021-09-18,"2,087 ","2,047 ",40 ,5 ,146 ,217 ,405 ,390 ,372 ,270 ,179 ,73 ,35 
2021-09-19,"1,909 ","1,870 ",39 ,10 ,124 ,173 ,402 ,327 ,366 ,240 ,183 ,68 ,26 
2021-09-20,"1,603 ","1,575 ",28 ,5 ,99 ,156 ,329 ,295 ,298 ,191 ,139 ,63 ,33 
2021-09-21,"1,729 ","1,697 ",32 ,4 ,110 ,160 ,358 ,305 ,325 ,214 ,160 ,69 ,28 
2021-09-22,"1,720 ","1,703 ",17 ,6 ,103 ,172 ,336 ,305 ,319 ,201 ,174 ,91 ,19 
2021-09-23,"1,715 ","1,697 ",18 ,8 ,99 ,141 ,401 ,317 ,306 ,199 ,159 ,68 ,25 
2021-09-24,"2,429 ","2,411 ",18 ,6 ,119 ,222 ,547 ,445 ,447 ,322 ,211 ,81 ,35 
2021-09-25,"3,268 ","3,240 ",28 ,7 ,205 ,299 ,809 ,658 ,510 ,339 ,268 ,120 ,60 
2021-09-26,"2,767 ","2,733 ",34 ,9 ,168 ,250 ,731 ,536 ,408 ,302 ,223 ,89 ,60 
2021-09-27,"2,380 ","2,353 ",27 ,6 ,166 ,221 ,625 ,449 ,363 ,246 ,173 ,83 ,54 
2021-09-28,"2,287 ","2,268 ",19 ,8 ,152 ,240 ,568 ,430 ,344 ,222 ,183 ,95 ,53 
2021-09-29,"2,881 ","2,855 ",26 ,10 ,145 ,286 ,747 ,556 ,442 ,307 ,219 ,123 ,56 
2021-09-30,"2,560 ","2,535 ",25 ,7 ,165 ,275 ,611 ,486 ,358 ,282 ,220 ,93 ,70 
2021-10-01,"2,483 ","2,449 ",34 ,16 ,160 ,289 ,590 ,442 ,363 ,278 ,216 ,87 ,58 
2021-10-02,"2,247 ","2,220 ",27 ,7 ,166 ,242 ,518 ,398 ,374 ,220 ,191 ,101 ,37 
2021-10-03,"2,084 ","2,056 ",28 ,3 ,128 ,220 ,474 ,393 ,333 ,223 ,177 ,83 ,53 
2021-10-04,"1,670 ","1,650 ",20 ,6 ,112 ,187 ,384 ,275 ,275 ,189 ,158 ,57 ,33 
2021-10-05,"1,574 ","1,555 ",19 ,11 ,84 ,182 ,302 ,309 ,262 ,178 ,141 ,68 ,48 
2021-10-06,"2,027 ","2,001 ",26 ,12 ,115 ,223 ,426 ,392 ,328 ,250 ,176 ,77 ,40 
2021-10-07,"2,424 ","2,397 ",27 ,8 ,192 ,266 ,448 ,434 ,389 ,281 ,258 ,105 ,51 
2021-10-08,"2,171 ","2,140 ",31 ,10 ,168 ,228 ,444 ,382 ,302 ,254 ,240 ,94 ,59 
2021-10-09,"1,952 ","1,923 ",29 ,6 ,140 ,227 ,347 ,317 ,334 ,218 ,242 ,81 ,46 
2021-10-10,"1,593 ","1,559 ",34 ,15 ,131 ,162 ,324 ,302 ,237 ,187 ,146 ,70 ,34 
2021-10-11,"1,297 ","1,284 ",13 ,8 ,90 ,161 ,242 ,224 ,211 ,151 ,122 ,64 ,32 
2021-10-12,"1,346 ","1,333 ",13 ,11 ,104 ,188 ,239 ,251 ,223 ,140 ,121 ,43 ,37 
2021-10-13,"1,581 ","1,568 ",13 ,11 ,120 ,198 ,288 ,271 ,256 ,176 ,159 ,77 ,36 
2021-10-14,"1,938 ","1,923 ",15 ,12 ,155 ,246 ,292 ,335 ,280 ,203 ,228 ,128 ,71 
2021-10-15,"1,683 ","1,669 ",14 ,8 ,159 ,203 ,276 ,288 ,243 ,175 ,204 ,85 ,50 
2021-10-16,"1,616 ","1,592 ",24 ,18 ,125 ,185 ,254 ,273 ,243 ,203 ,181 ,77 ,75 
2021-10-17,"1,420 ","1,403 ",17 ,16 ,102 ,158 ,236 ,234 ,197 ,158 ,190 ,96 ,49 
2021-10-18,"1,049 ","1,030 ",19 ,8 ,100 ,109 ,154 ,173 ,163 ,141 ,112 ,59 ,38 
2021-10-19,"1,073 ","1,048 ",25 ,21 ,88 ,166 ,147 ,169 ,159 ,125 ,126 ,50 ,43 
2021-10-20,"1,571 ","1,556 ",15 ,9 ,108 ,250 ,226 ,266 ,244 ,145 ,194 ,76 ,62 
2021-10-21,"1,441 ","1,430 ",11 ,11 ,127 ,201 ,206 ,257 ,196 ,162 ,172 ,75 ,45 
2021-10-22,"1,437 ","1,417 ",20 ,16 ,116 ,209 ,194 ,252 ,215 ,141 ,184 ,74 ,52 
2021-10-23,"1,507 ","1,486 ",21 ,19 ,136 ,222 ,204 ,253 ,194 ,149 ,191 ,84 ,74 
2021-10-24,"1,421 ","1,393 ",28 ,20 ,118 ,226 ,196 ,226 ,216 ,133 ,193 ,73 ,40 
2021-10-25,"1,190 ","1,167 ",23 ,7 ,103 ,201 ,126 ,180 ,170 ,134 ,158 ,74 ,44 
2021-10-26,"1,265 ","1,245 ",20 ,15 ,110 ,208 ,167 ,204 ,171 ,114 ,156 ,71 ,64 
2021-10-27,"1,952 ","1,931 ",21 ,9 ,169 ,335 ,249 ,295 ,273 ,177 ,266 ,123 ,65 
2021-10-28,"2,110 ","2,094 ",16 ,11 ,220 ,325 ,244 ,311 ,276 ,224 ,279 ,132 ,99 
2021-10-29,"2,122 ","2,092 ",30 ,8 ,207 ,301 ,297 ,319 ,259 ,221 ,282 ,149 ,87 
2021-10-30,"2,102 ","2,087 ",15 ,13 ,195 ,271 ,213 ,295 ,275 ,246 ,321 ,170 ,116 
2021-10-31,"2,061 ","2,052 ",9 ,19 ,159 ,266 ,256 ,288 ,275 ,226 ,333 ,145 ,113 
2021-11-01,"1,684 ","1,664 ",20 ,9 ,153 ,226 ,159 ,237 ,198 ,193 ,269 ,127 ,122 
2021-11-02,"1,588 ","1,577 ",11 ,16 ,149 ,243 ,163 ,194 ,203 ,166 ,252 ,119 ,99 
2021-11-03,"2,665 ","2,638 ",27 ,18 ,230 ,432 ,250 ,390 ,290 ,314 ,429 ,179 ,151 
2021-11-04,"2,482 ","2,457 ",25 ,24 ,235 ,321 ,253 ,355 ,290 ,297 ,397 ,201 ,133 
2021-11-05,"2,342 ","2,322 ",20 ,20 ,207 ,334 ,211 ,326 ,298 ,264 ,360 ,203 ,139 
2021-11-06,"2,246 ","2,217 ",29 ,20 ,210 ,294 ,243 ,321 ,285 ,232 ,357 ,189 ,115 
2021-11-07,"2,224 ","2,204 ",20 ,11 ,201 ,268 ,216 ,294 ,268 ,263 ,393 ,175 ,146 
2021-11-08,"1,758 ","1,731 ",27 ,13 ,153 ,240 ,169 ,221 ,234 ,199 ,314 ,133 ,95 
2021-11-09,"1,714 ","1,697 ",17 ,18 ,201 ,244 ,145 ,224 ,178 ,226 ,277 ,132 ,87 
2021-11-10,"2,424 ","2,408 ",16 ,13 ,175 ,313 ,249 ,309 ,294 ,302 ,457 ,219 ,106 
2021-11-11,"2,519 ","2,493 ",26 ,21 ,231 ,325 ,250 ,339 ,304 ,268 ,440 ,224 ,138 
2021-11-12,"2,368 ","2,358 ",10 ,18 ,214 ,294 ,211 ,307 ,285 ,278 ,411 ,220 ,148 
2021-11-13,"2,324 ","2,310 ",14 ,32 ,180 ,211 ,209 ,307 ,249 ,309 ,492 ,232 ,135 
2021-11-14,"2,417 ","2,399 ",18 ,20 ,199 ,246 ,209 ,257 ,273 ,333 ,476 ,262 ,162 
2021-11-15,"2,003 ","1,983 ",20 ,12 ,185 ,223 ,137 ,203 ,255 ,268 ,388 ,203 ,141 
2021-11-16,"2,124 ","2,109 ",15 ,22 ,210 ,252 ,166 ,249 ,271 ,290 ,332 ,199 ,155 
2021-11-17,"3,183 ","3,160 ",23 ,20 ,254 ,405 ,277 ,371 ,362 ,390 ,625 ,331 ,168 
2021-11-18,"3,291 ","3,271 ",20 ,29 ,231 ,398 ,294 ,384 ,383 ,410 ,629 ,356 ,206 
2021-11-19,"3,032 ","3,009 ",23 ,28 ,220 ,334 ,280 ,349 ,346 ,395 ,616 ,319 ,173 
2021-11-20,"3,203 ","3,186 ",17 ,29 ,278 ,379 ,256 ,347 ,411 ,422 ,597 ,331 ,182 
2021-11-21,"3,118 ","3,094 ",24 ,30 ,306 ,292 ,262 ,372 ,348 ,405 ,619 ,306 ,208 
2021-11-22,"2,826 ","2,806 ",20 ,24 ,263 ,328 ,270 ,362 ,318 ,348 ,526 ,270 ,141 
2021-11-23,"2,696 ","2,682 ",14 ,30 ,289 ,286 ,237 ,341 ,326 ,339 ,520 ,235 ,123 
2021-11-24,"4,114 ","4,086 ",28 ,34 ,299 ,390 ,363 ,530 ,486 ,565 ,873 ,409 ,199 
2021-11-25,"3,934 ","3,913 ",21 ,39 ,293 ,407 ,349 ,503 ,470 ,538 ,830 ,353 ,191 
2021-11-26,"3,894 ","3,876 ",18 ,39 ,318 ,391 ,373 ,457 ,466 ,542 ,767 ,364 ,216 
2021-11-27,"4,064 ","4,041 ",23 ,52 ,340 ,440 ,375 ,449 ,509 ,536 ,809 ,407 ,199 
2021-11-28,"3,924 ","3,889 ",35 ,56 ,348 ,393 ,336 ,451 ,417 ,460 ,778 ,438 ,303 
2021-11-29,"3,307 ","3,284 ",23 ,32 ,335 ,307 ,286 ,370 ,359 ,417 ,663 ,366 ,204 
2021-11-30,"3,031 ","3,002 ",29 ,44 ,307 ,309 ,252 ,394 ,350 ,369 ,620 ,258 ,172 
2021-12-01,"5,119 ","5,071 ",48 ,33 ,415 ,521 ,467 ,604 ,583 ,722 ,980 ,524 ,303 
2021-12-02,"5,261 ","5,237 ",24 ,48 ,425 ,553 ,520 ,624 ,600 ,676 ,"1,035 ",536 ,292 
2021-12-03,"4,942 ","4,921 ",21 ,32 ,452 ,547 ,448 ,561 ,587 ,651 ,957 ,501 ,238 
2021-12-04,"5,349 ","5,324 ",25 ,70 ,502 ,588 ,453 ,644 ,621 ,673 ,"1,061 ",535 ,272 
2021-12-05,"5,123 ","5,100 ",23 ,43 ,483 ,556 ,444 ,582 ,580 ,655 ,"1,054 ",515 ,254 
2021-12-06,"4,323 ","4,294 ",29 ,41 ,485 ,482 ,358 ,446 ,483 ,524 ,883 ,408 ,254 
2021-12-07,"4,948 ","4,918 ",30 ,64 ,546 ,549 ,430 ,597 ,631 ,646 ,940 ,418 ,191 
2021-12-08,"7,172 ","7,139 ",33 ,63 ,664 ,728 ,600 ,857 ,940 ,935 ,"1,505 ",665 ,278 
2021-12-09,"7,100 ","7,080 ",20 ,56 ,683 ,728 ,682 ,883 ,899 ,905 ,"1,404 ",635 ,281 
2021-12-10,"7,015 ","6,976 ",39 ,53 ,725 ,756 ,632 ,811 ,886 ,916 ,"1,403 ",615 ,271 
2021-12-11,"6,970 ","6,944 ",26 ,80 ,730 ,708 ,603 ,849 ,861 ,929 ,"1,426 ",585 ,279 
2021-12-12,"6,680 ","6,652 ",28 ,42 ,628 ,659 ,591 ,801 ,846 ,903 ,"1,375 ",596 ,281 
2021-12-13,"5,816 ","5,781 ",35 ,40 ,614 ,546 ,513 ,674 ,782 ,794 ,"1,187 ",498 ,208 
2021-12-14,"5,564 ","5,522 ",42 ,94 ,647 ,585 ,532 ,637 ,747 ,756 ,"1,035 ",424 ,201 
2021-12-15,"7,840 ","7,817 ",23 ,67 ,851 ,744 ,761 ,982 ,"1,029 ","1,090 ","1,495 ",609 ,279 
2021-12-16,"7,614 ","7,583 ",31 ,62 ,785 ,736 ,770 ,987 ,"1,045 ","1,054 ","1,505 ",527 ,205 
2021-12-17,"7,431 ","7,395 ",36 ,72 ,889 ,703 ,764 ,946 ,"1,002 ","1,003 ","1,349 ",578 ,197 
2021-12-18,"7,307 ","7,278 ",29 ,53 ,893 ,720 ,772 ,899 ,992 ,924 ,"1,399 ",525 ,183 
2021-12-19,"6,231 ","6,168 ",63 ,76 ,785 ,631 ,647 ,782 ,854 ,840 ,"1,102 ",421 ,169 
2021-12-20,"5,313 ","5,253 ",60 ,53 ,732 ,546 ,525 ,694 ,711 ,698 ,929 ,330 ,148 
2021-12-21,"5,191 ","5,133 ",58 ,52 ,698 ,567 ,495 ,685 ,754 ,716 ,873 ,290 ,113 
2021-12-22,"7,447 ","7,356 ",91 ,78 ,878 ,803 ,788 ,"1,042 ","1,032 ","1,006 ","1,262 ",438 ,198 
2021-12-23,"6,910 ","6,849 ",61 ,108 ,826 ,752 ,708 ,941 ,993 ,923 ,"1,161 ",403 ,203 
2021-12-24,"6,229 ","6,159 ",70 ,56 ,760 ,720 ,679 ,856 ,898 ,800 ,"1,011 ",348 ,157 
2021-12-25,"5,836 ","5,762 ",74 ,101 ,760 ,660 ,674 ,765 ,811 ,826 ,881 ,322 ,137 
2021-12-26,"5,413 ","5,333 ",80 ,68 ,716 ,623 ,561 ,731 ,772 ,732 ,847 ,278 ,153 
2021-12-27,"4,203 ","4,120 ",83 ,55 ,640 ,485 ,452 ,597 ,619 ,546 ,585 ,193 ,86 
2021-12-28,"3,863 ","3,775 ",88 ,46 ,589 ,461 ,423 ,553 ,591 ,480 ,525 ,159 ,82 
2021-12-29,"5,401 ","5,276 ",125 ,36 ,615 ,645 ,646 ,807 ,801 ,718 ,753 ,263 ,153 
2021-12-30,"5,032 ","4,928 ",104 ,72 ,680 ,559 ,662 ,710 ,738 ,684 ,654 ,234 ,111 
2021-12-31,"4,871 ","4,754 ",117 ,108 ,687 ,613 ,584 ,698 ,725 ,625 ,622 ,209 ,108 
2022-01-01,"4,411 ","4,306 ",105 ,62 ,677 ,472 ,504 ,647 ,664 ,593 ,563 ,186 ,105 
2022-01-02,"3,825 ","3,676 ",149 ,69 ,519 ,463 ,480 ,580 ,594 ,497 ,458 ,156 ,78 
2022-01-03,"3,124 ","2,989 ",135 ,36 ,488 ,388 ,388 ,475 ,492 ,362 ,347 ,123 ,61 
2022-01-04,"3,019 ","2,886 ",133 ,50 ,415 ,356 ,421 ,474 ,458 ,393 ,339 ,98 ,65 
2022-01-05,"4,441 ","4,231 ",210 ,57 ,522 ,554 ,578 ,754 ,756 ,560 ,439 ,169 ,109 
2022-01-06,"4,118 ","3,927 ",191 ,48 ,555 ,505 ,612 ,629 ,685 ,506 ,407 ,130 ,89 
2022-01-07,"3,706 ","3,521 ",185 ,45 ,442 ,453 ,571 ,609 ,604 ,480 ,351 ,111 ,85 
2022-01-08,"3,502 ","3,292 ",210 ,54 ,408 ,408 ,568 ,554 ,524 ,493 ,366 ,132 ,49 
2022-01-09,"3,364 ","3,131 ",233 ,51 ,423 ,454 ,527 ,525 ,522 ,415 ,323 ,110 ,65 
2022-01-10,"3,003 ","2,765 ",238 ,34 ,396 ,404 ,478 ,456 ,474 ,370 ,262 ,93 ,70 
2022-01-11,"3,087 ","2,805 ",282 ,43 ,424 ,460 ,499 ,482 ,511 ,330 ,256 ,83 ,42 
2022-01-12,"4,380 ","4,004 ",376 ,52 ,452 ,553 ,851 ,763 ,759 ,496 ,294 ,126 ,86 
2022-01-13,"4,158 ","3,773 ",385 ,44 ,476 ,562 ,758 ,707 ,699 ,476 ,291 ,101 ,88 
2022-01-14,"4,534 ","4,128 ",406 ,48 ,454 ,665 ,"1,070 ",767 ,698 ,394 ,291 ,102 ,93 
2022-01-15,"4,412 ","4,068 ",344 ,22 ,508 ,633 ,951 ,741 ,627 ,454 ,289 ,113 ,96 
2022-01-16,"4,183 ","3,808 ",375 ,29 ,557 ,606 ,817 ,636 ,635 ,467 ,260 ,108 ,97 
2022-01-17,"3,852 ","3,548 ",304 ,23 ,582 ,582 ,643 ,574 ,600 ,438 ,224 ,85 ,124 
2022-01-18,"4,064 ","3,758 ",306 ,45 ,573 ,656 ,748 ,625 ,611 ,455 ,243 ,95 ,58 
2022-01-19,"5,795 ","5,421 ",374 ,73 ,752 ,936 ,"1,112 ",925 ,984 ,583 ,307 ,105 ,91 
2022-01-20,"6,598 ","6,354 ",244 ,28 ,735 ,"1,106 ","1,433 ",990 ,"1,034 ",670 ,345 ,149 ,136 
2022-01-21,"6,762 ","6,478 ",284 ,21 ,703 ,"1,170 ","1,531 ","1,095 ","1,023 ",652 ,343 ,150 ,95 
2022-01-22,"6,987 ","6,714 ",273 ,28 ,764 ,"1,246 ","1,556 ","1,080 ","1,047 ",699 ,361 ,125 ,109 
2022-01-23,"7,620 ","7,338 ",282 ,11 ,908 ,"1,365 ","1,588 ","1,130 ","1,131 ",749 ,432 ,135 ,182 
2022-01-24,"7,505 ","7,153 ",352 ,25 ,954 ,"1,325 ","1,459 ","1,109 ","1,209 ",805 ,392 ,147 ,105 
2022-01-25,"8,568 ","8,354 ",214 ,23 ,"1,167 ","1,572 ","1,708 ","1,333 ","1,357 ",821 ,383 ,135 ,92 
2022-01-26,"12,997 ","12,731 ",266 ,32 ,"1,516 ","2,421 ","2,732 ","2,042 ","2,092 ","1,199 ",607 ,211 ,177 
2022-01-27,"14,505 ","14,288 ",217 ,33 ,"1,652 ","2,808 ","3,283 ","2,080 ","2,226 ","1,333 ",650 ,241 ,232 
2022-01-28,"16,079 ","15,880 ",199 ,24 ,"1,677 ","2,934 ","3,856 ","2,325 ","2,488 ","1,511 ",787 ,280 ,221 
2022-01-29,"17,499 ","17,310 ",189 ,34 ,"1,915 ","3,229 ","4,019 ","2,568 ","2,656 ","1,732 ",844 ,300 ,236 
2022-01-30,"17,513 ","17,288 ",225 ,20 ,"1,930 ","3,233 ","3,824 ","2,610 ","2,700 ","1,737 ",929 ,334 ,216 
2022-01-31,"17,066 ","16,837 ",229 ,23 ,"1,998 ","3,250 ","3,515 ","2,570 ","2,662 ","1,670 ",889 ,309 ,203 
2022-02-01,"18,327 ","18,108 ",219 ,17 ,"2,312 ","3,471 ","3,727 ","2,591 ","2,919 ","1,848 ",945 ,304 ,210 
2022-02-02,"20,259 ","20,097 ",162 ,15 ,"2,416 ","3,672 ","4,051 ","2,945 ","3,313 ","2,137 ","1,069 ",394 ,262 
2022-02-03,"22,832 ","22,698 ",134 ,24 ,"2,701 ","3,908 ","4,682 ","3,500 ","3,828 ","2,387 ","1,173 ",392 ,261 
2022-02-04,"27,421 ","27,265 ",156 ,23 ,"2,886 ","4,370 ","5,916 ","4,155 ","4,607 ","2,971 ","1,557 ",579 ,380 
2022-02-05,"36,308 ","36,126 ",182 ,22 ,"3,748 ","5,429 ","7,759 ","5,512 ","5,785 ","3,853 ","2,536 ","1,035 ",651 
2022-02-06,"38,673 ","38,482 ",191 ,14 ,"4,007 ","5,875 ","7,869 ","5,674 ","6,159 ","4,314 ","2,814 ","1,285 ",676 
2022-02-07,"35,249 ","35,101 ",148 ,13 ,"3,538 ","5,235 ","7,234 ","5,194 ","5,633 ","4,101 ","2,477 ","1,127 ",710 
2022-02-08,"36,694 ","36,594 ",100 ,35 ,"3,762 ","5,476 ","7,630 ","5,337 ","5,881 ","4,346 ","2,544 ","1,049 ",669 
2022-02-09,"49,508 ","49,343 ",165 ,21 ,"4,944 ","7,500 ","10,701 ","7,268 ","7,572 ","5,596 ","3,427 ","1,458 ","1,042 "
2022-02-10,"54,102 ","54,015 ",87 ,20 ,"5,703 ","8,542 ","11,854 ","7,899 ","8,087 ","6,012 ","3,462 ","1,547 ",996 
2022-02-11,"53,859 ","53,748 ",111 ,48 ,"5,622 ","8,372 ","11,790 ","8,161 ","8,104 ","5,720 ","3,585 ","1,392 ","1,113 "
2022-02-12,"54,917 ","54,806 ",111 ,33 ,"6,026 ","8,883 ","11,680 ","8,017 ","8,182 ","5,801 ","3,751 ","1,472 ","1,105 "
2022-02-13,"56,363 ","56,234 ",129 ,35 ,"6,588 ","9,260 ","11,425 ","7,960 ","8,421 ","5,868 ","3,886 ","1,639 ","1,316 "
2022-02-14,"54,523 ","54,418 ",105 ,21 ,"6,887 ","9,185 ","10,101 ","7,771 ","8,521 ","5,914 ","3,705 ","1,454 ",985 
2022-02-15,"57,140 ","56,972 ",168 ,61 ,"8,047 ","9,498 ","9,947 ","8,502 ","8,990 ","6,181 ","3,706 ","1,326 ",943 
