시간,규모,진앙(km),위도,경도,위치
2016-09-12 20:32:54,5.8,15,35.76,129.19,경북 경주시 남남서쪽 8.7km 지역
2016-09-12 20:34:22,3.6,12,35.78,129.19,경북 경주시 남남서쪽 7km 지역
2016-09-12 20:36:00,3.4,13,35.75,129.18,경북 경주시 남남서쪽 10km 지역
2016-09-12 20:38:32,3.0,15,35.78,129.20,경북 경주시 남남서쪽 7km 지역
2016-09-12 20:39:35,3.0,16,35.77,129.19,경북 경주시 남남서쪽 8km 지역
2016-09-12 20:40:40,3.0,17,35.76,129.18,경북 경주시 남남서쪽 9km 지역
2016-09-12 20:42:27,2.5,13,35.79,129.20,경북 경주시 남남서쪽 5km 지역
2016-09-12 20:43:31,2.4,13,35.76,129.19,경북 경주시 남남서쪽 9km 지역
2016-09-12 20:44:02,2.5,17,35.76,129.18,경북 경주시 남남서쪽 9km 지역
2016-09-12 20:45:06,2.3,15,35.76,129.17,경북 경주시 남남서쪽 10km 지역
2016-09-12 20:45:36,2.7,14,35.78,129.20,경북 경주시 남남서쪽 7km 지역
2016-09-12 20:46:28,2.4,16,35.76,129.17,경북 경주시 남남서쪽 10km 지역
2016-09-12 20:47:41,2.2,14,35.81,129.23,경북 경주시 남남동쪽 3km 지역
2016-09-12 20:47:55,2.9,16,35.76,129.19,경북 경주시 남남서쪽 9km 지역
2016-09-12 20:51:13,2.6,16,35.75,129.16,경북 경주시 남남서쪽 11km 지역
2016-09-12 20:55:00,2.0,11,35.76,129.18,경북 경주시 남남서쪽 9km 지역
2016-09-12 20:58:45,2.1,16,35.77,129.17,경북 경주시 남남서쪽 9km 지역
2016-09-12 21:00:35,2.5,18,35.77,129.18,경북 경주시 남남서쪽 8km 지역
2016-09-12 21:07:59,2.0,15,35.77,129.19,경북 경주시 남남서쪽 8km 지역
2016-09-12 21:09:19,2.2,15,35.77,129.19,경북 경주시 남남서쪽 8km 지역
2016-09-12 21:16:38,2.1,13,35.76,129.18,경북 경주시 남남서쪽 9km 지역
2016-09-12 21:20:48,2.8,19,35.78,129.18,경북 경주시 남남서쪽 7km 지역
2016-09-12 21:33:57,2.3,17,35.76,129.02,경북 경주시 서남서쪽 20km 지역
