일시,평균기온(℃),최고기온 평균(℃),최저기온 평균(℃),강수량(mm)
 2016-10,16.1,21.3,11.6,74.8
 2016-11,6.8,11.6,2.8,16.7
 2016-12,1.2,5.8,-2.7,61.1
 2017-01,-1.8,2.9,-5.8,14.9
 2017-02,-0.2,4.8,-4.7,11.1
 2017-03,6.3,12.3,1.7,7.9
 2017-04,13.9,20,9.1,61.6
 2017-05,19.5,25.4,14.4,16.1
 2017-06,23.3,28.8,18.7,66.6
 2017-07,26.9,30.4,24.3,621
 2017-08,25.9,29.7,22.9,297
 2017-09,22.1,27.4,17.5,35
 2017-10,16.4,22.5,11.6,26.5
 2017-11,5.6,10.5,1.3,40.7
 2017-12,-1.9,2.2,-5.7,34.8
 2018-01,-4,0.1,-7.3,8.5
 2018-02,-1.6,3.3,-5.9,29.6
 2018-03,8.1,13.6,3.8,49.5
 2018-04,13,18.5,8.1,130.3
 2018-05,18.2,23.3,13.4,222
 2018-06,23.1,28.4,18.9,171.5
 2018-07,27.8,32.1,24.2,185.6
 2018-08,28.8,33.3,25.2,202.6
 2018-09,21.5,26,17.6,68.5
 2018-10,13.1,18.6,8.5,120.5
 2018-11,7.8,13.2,3.6,79.1
 2018-12,-0.6,4.1,-4.7,16.4
 2019-01,-0.9,4.1,-5.1,0
 2019-02,1,6,-3.2,23.8
 2019-03,7.1,12.4,2.7,26.8
 2019-04,12.1,17.6,7.2,47.3
 2019-05,19.4,25.6,13.7,37.8
 2019-06,22.5,27.7,18.1,74
 2019-07,25.9,30.1,22.7,194.4
 2019-08,27.2,31.6,23.6,190.5
 2019-09,22.6,27.1,19,139.8
 2019-10,16.4,21.8,11.8,55.5
 2019-11,7.6,12.9,3.1,78.8
 2019-12,1.4,5.3,-2.6,22.6
 2020-01,1.6,5.9,-1.7,60.5
 2020-02,2.5,7.2,-1.3,53.1
 2020-03,7.7,13.3,2.6,16.3
 2020-04,11.1,16.6,6.3,16.9
 2020-05,18,23.3,13.7,112.4
 2020-06,23.9,29,19.9,139.6
 2020-07,24.1,28,21.1,270.4
 2020-08,26.5,29.3,24.4,675.7
 2020-09,21.4,25.6,18,181.5
 2020-10,14.3,19.5,9.6,0
 2020-11,8,12.6,4,120.1
 2020-12,-0.3,3.9,-4.2,4.6
 2021-01,-2.4,2.2,-6.8,18.9
 2021-02,2.7,7.9,-2.2,7.1
 2021-03,9,14.8,4.3,110.9
 2021-04,14.2,19.5,9.5,124.1
 2021-05,17.1,21.9,12.8,183.1
 2021-06,22.8,27.6,18.9,104.6
 2021-07,28.1,32.2,24.6,168.3
 2021-08,25.9,29.7,22.8,211.2
 2021-09,22.6,26.9,18.8,131
 2021-10,15.6,20.5,11.6,57
 2021-11,8.2,13.1,4,62.4
 2021-12,0.6,5.1,-3.5,7.9
 2022-01,-2.2,2.6,-6.2,5.5
 2022-02,-1.1,3.8,-5.3,4.7
 2022-03,7.7,12.7,3.2,102.6
 2022-04,14.8,20.6,10,20.4
 2022-05,19.1,25,13.9,7.5
 2022-06,23.3,27.5,19.8,393.8
 2022-07,27.3,31,24.2,252.3
 2022-08,25.7,28.9,23.1,564.8
 2022-09,22.4,27.2,18.2,201.5
 2022-10,14.6,19.7,10.3,124.1
 2022-11,10,15.4,5.6,84.5
 2022-12,-2.8,1.7,-6.6,13.6
 2023-01,-1.5,3.2,-5.7,47.9
 2023-02,2.3,7.3,-1.9,1
 2023-03,9.8,16.2,4.2,10.5
 2023-04,13.8,19,8.8,96.9
 2023-05,19.5,25,14.6,155.6
 2023-06,23.4,27.9,19.7,195.6
 2023-07,26.7,30.2,23.9,459.9
 2023-08,27.2,30.8,24.3,298.1
 2023-09,23.7,27.6,20.2,134.5
 2023-10,15.8,21,11.5,31
 2023-11,6.8,11.5,2.9,81.9
 2023-12,1.1,5.2,-2.5,85.9
 2024-01,-0.5,3.6,-3.9,18.9
 2024-02,3.8,8.2,0.2,74.7
 2024-03,7,12,2.4,29.9
 2024-04,16.3,22.4,11.5,33.2
 2024-05,18.5,23.7,13.8,125.1
 2024-06,24.6,30.1,19.9,115.9
 2024-07,26.6,29.6,24.1,557.3
 2024-08,29.3,33.3,26.3,72.8
 2024-09,25.5,29.8,22,143.9
 2024-10,16.7,21.4,12.7,74
 2024-11,9.7,14.9,5.5,60
 2024-12,0.8,5.3,-2.9,5.7
 2025-01,-0.4,3.9,-4.1,19.5
 2025-02,-1.2,3.9,-5.3,5.2
 2025-03,8,13.6,3.3,38.2
 2025-04,13.4,19,8.2,94.6
 2025-05,17.8,22.7,13.3,123.6
 2025-06,24,28.5,20,98.1
 2025-07,28.8,32.6,25.7,293.9
 2025-08,28.2,31.9,25.3,290.3
 2025-09,23.5,27.4,20.3,370.7
 2025-10,16.5,20.4,13.1,186.3
 2025-11,,,,2.6
 평균,12.5,17.1,8.5,116.6
