"공공시설",기타,피해액 (천원),45379672,42266070,241442,294050,2578110,0,0,0,0,0
"사유시설",피해액 (천원),소계,67192429,52375258,2432845,1372518,2581230,0,168322,7682937,1170,578149
"사유시설",축대 담장 (개/천원),소계,20/154397,3/135400,0.00,17/18997,0.00,0.00,0.00,0.00,0.00,0.00
"사유시설",가축 (마리/천원),소계,972163/5796289,967145/5662583,0.00,44/0,2209/130425,0.00,0.00,0.00,2750/1170,15/2111
"사유시설",수산생물 (마리/천원),소계,2501302/1583741,2501302/1583741,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"사유시설",축사 잠사 (개/천원),소계,282/4963469,212/2183165,22/1705563,21/534866,9/108382,0.00,0.00,0.00,0.00,18/431493
"사유시설",수산증양식 (개/천원),소계,23/284167,17/268553,3/10763,3/4851,0.00,0.00,0.00,0.00,0.00,0.00
"사유시설",어망 어구 (통/천원),소계,3557/412407,1756/36007,0.00,0.00,1801/376400,0.00,0.00,0.00,0.00,0.00
"사유시설",비닐하우스 (ha/천원),소계,126.94/11016311,115.64/10037906,3.4/213754,2.88/330375,2.1/352752,0.00,0.00,0.00,0.00,2.92/81524
"사유시설",기타사유시설 (개/천원),소계,46103/42981648,22639/32467903,137/502765,40/483429,1206/1613271,0.00,361/168322,21708/7682937,0.00,12/63021
